aa,ac,ag,at,cc,gc,ct,gt,tt,gg,ref_id,split_id
16.63544571,31.63119942,24.8546002,30.01238409,14.31344602,22.49973486,26.45707475,21.76057488,13.65959275,11.65413316,SARS-CoV-2_1_LEFT,SARS-CoV-2_60_LEFT
16.11319731,34.46236949,23.40821925,27.31832641,16.05657852,23.35793293,27.24624942,20.19830842,12.92188411,11.35095699,SARS-CoV-2_1_LEFT,SARS-CoV-2_60_RIGHT
15.58613094,33.68607484,22.14504764,27.02915515,16.37447343,22.79519605,28.0738709,19.86515662,13.16450869,11.09013188,SARS-CoV-2_1_LEFT,SARS-CoV-2_61_LEFT
15.84920167,31.10796268,22.81124115,29.39557654,14.82479988,21.8855311,27.75158183,21.1180562,14.03467045,11.22923162,SARS-CoV-2_1_LEFT,SARS-CoV-2_61_RIGHT
16.72869791,34.36365691,24.14136683,29.85535401,15.23448603,22.7790785,27.65678648,20.96585044,13.47371772,11.33678155,SARS-CoV-2_1_LEFT,SARS-CoV-2_62_LEFT
15.37771981,33.86105406,21.80350447,28.1047495,16.56562507,22.76719808,29.89005766,20.3118214,13.73574101,10.99394952,SARS-CoV-2_1_LEFT,SARS-CoV-2_62_RIGHT
15.07576846,31.78358816,25.95740343,28.9295959,15.24646978,26.18379655,29.22373283,24.34686073,13.90628939,12.55778405,SARS-CoV-2_1_LEFT,SARS-CoV-2_63_LEFT
17.60783073,32.5291044,28.38669344,30.31539408,13.88095887,23.80915607,25.05689097,22.7292653,13.11346422,12.44650599,SARS-CoV-2_1_LEFT,SARS-CoV-2_63_RIGHT
15.9296272,30.77751571,25.63504979,31.92500424,14.16326919,23.54117483,28.50266703,24.13584708,14.64516431,12.0565347,SARS-CoV-2_1_LEFT,SARS-CoV-2_64_LEFT
16.1969909,30.6470669,23.96485536,29.04130087,14.33179108,22.1279998,26.23700655,21.36433894,13.62978428,11.53702684,SARS-CoV-2_1_LEFT,SARS-CoV-2_64_RIGHT
16.7516796,32.69580932,25.9325019,31.9678177,14.33429129,23.28237007,27.76953282,22.95735697,14.06264366,11.83571625,SARS-CoV-2_1_LEFT,SARS-CoV-2_65_LEFT
14.32307202,29.9472445,24.23228449,29.89642669,15.18206988,25.31985427,31.73369976,25.2858736,15.1545554,12.24554781,SARS-CoV-2_1_LEFT,SARS-CoV-2_65_RIGHT
18.11867913,33.94869909,26.54132381,29.0302718,14.31640886,22.74419314,24.44213536,20.69601985,12.63358357,11.7975872,SARS-CoV-2_1_LEFT,SARS-CoV-2_66_LEFT
15.93074158,30.03147875,24.85419048,32.89754933,13.93345008,22.62310655,28.74590972,24.02488514,15.15671665,11.80565624,SARS-CoV-2_1_LEFT,SARS-CoV-2_66_RIGHT
16.74885649,33.20303888,24.94075344,28.5051797,14.88230137,23.09456896,26.02268023,20.96824842,13.01173381,11.65696274,SARS-CoV-2_1_LEFT,SARS-CoV-2_67_LEFT
16.988844,33.52731375,23.84078797,28.73611831,14.95471726,22.06929652,26.0629784,20.14493772,13.0651668,11.25177118,SARS-CoV-2_1_LEFT,SARS-CoV-2_67_RIGHT
